CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
0.1,0,0.15,0.0,1.35,0.15,0,0,1.75,1.94,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.26,0,4,0.0,0,0,31380316,25843492,27234128,16379900,32,0.136,0.438,23.129,3.724,-1,-1,1,0.438,0,0,0,34462,1222,0,2,1,0.0,1141.0,0,805,0.18,0.14,0
0.0,0,0.1,0.0,1.3,0.1,0,0,1.5,1.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.13,0,2,0.0,0,0,31380316,25856220,27246856,16379900,32,0.124,0.456,24.976,3.748,-1,-1,1,0.456,0,0,0,38268,1608,0,2,1,0.0,1594.0,1,805,0.18,0.14,0
0.85,0,0.1,0.0,1.25,0.2,0,0,2.4,2.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06,0,1,0.0,0,0,31380316,25857764,27248408,16379900,32,1.008,0.984,32.935,5.665,-1,-1,1,0.984,0,0,0,37491,2047,0,3,0,6.0,2013.0,1,803,0.18,0.14,0
0.15,0,0.15,0.0,1.25,0.05,0,0,1.6,1.6,0,2,0.0,0.02,0,33.33,0.0,8.0,0,9.0,0.9,0.02,0.0,0.0,0,0,0.0,0,0,31380316,25864348,27254992,16379900,32,0.158,0.523,28.446,4.427,-1,-1,1,0.523,0,0,16,36133,1377,0,1,3,0.0,1399.0,1,803,0.16,0.14,0
0.0,0,0.1,0.0,1.31,0.05,0,0,1.46,1.45,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.26,0,4,0.0,0,0,31380316,25864364,27255008,16379900,20,0.124,0.443,24.402,3.679,-1,-1,1,0.443,0,0,0,37356,1198,0,2,0,0.0,1194.0,0,802,0.16,0.14,0
0.15,0,0.1,0.0,1.4,0.15,0,0,1.8,1.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.19,0,3,0.0,0,0,31380316,25869128,27259772,16379900,20,0.186,0.432,24.468,3.934,-1,-1,1,0.432,0,0,0,35720,1290,0,2,1,0.0,1276.0,1,801,0.16,0.14,0
0.35,0,0.1,0.0,1.4,0.1,0,0,1.95,1.95,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.27,0.51,4,7,0.0,0,0,31380316,25866640,27257284,16379900,20,0.448,0.592,28.592,4.687,-1,-1,1,0.592,0,0,0,34918,1987,0,2,0,6.0,1963.0,0,802,0.16,0.14,0
0.15,0,0.15,0.0,1.7,0.05,0,0,2.05,2.05,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07,0.15,1,2,0.0,0,0,31380316,25866272,27256916,16379900,12,0.238,0.397,17.051,2.316,-1,-1,1,0.397,0,0,0,36812,1423,0,2,1,0.0,1365.0,1,805,0.15,0.14,0
0.1,0,0.15,0.0,1.1,0.05,0,0,1.4,1.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.26,0,4,0.0,0,0,31380316,25865232,27255876,16379900,12,0.092,0.468,26.526,3.048,-1,-1,1,0.468,0,0,0,34644,1446,0,2,1,0.0,1441.0,1,808,0.15,0.14,0
0.0,0,0.1,0.0,1.25,0.0,0,0,1.35,1.35,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07,0.14,1,2,0.0,0,0,31380316,25869040,27259688,16379900,16,0.106,0.464,32.004,4.601,-1,-1,1,0.464,0,0,0,36125,1199,0,1,1,0.0,1163.0,0,802,0.15,0.14,0
